0.010 7.4377e30 1.6758e13
0.015 8.9843e30 2.5141e13
0.020 1.2121e31 3.3529e13
0.025 1.9243e31 4.1911e13
0.030 3.2767e31 5.0301e13
0.060 3.6507e32 1.0074e14
0.090 1.3499e33 1.5151e14
0.120 3.1938e33 2.0279e14
0.150 5.9384e33 2.5471e14
0.180 9.6207e33 3.0735e14
0.210 1.4377e34 3.6075e14
0.240 2.0302e34 4.1500e14
0.270 2.7477e34 4.7019e14
0.300 3.5979e34 5.2630e14
0.330 4.3404e34 5.8336e14
0.360 5.0478e34 6.4114e14
0.390 5.8246e34 6.9959e14
0.420 6.6820e34 7.5872e14
0.450 7.6277e34 8.1859e14
0.480 8.6647e34 8.7920e14
0.510 9.6875e34 9.4052e14
0.540 1.0735e35 1.0025e15
0.570 1.1831e35 1.0652e15
0.600 1.2984e35 1.1285e15
0.630 1.4199e35 1.1925e15
0.660 1.5479e35 1.2571e15
0.690 1.6825e35 1.3224e15
0.720 1.8239e35 1.3884e15
0.750 1.9723e35 1.4550e15
0.780 2.1277e35 1.5224e15
0.810 2.2903e35 1.5904e15
0.840 2.4601e35 1.6591e15
0.870 2.6372e35 1.7284e15
0.900 2.8187e35 1.7985e15
0.930 2.9981e35 1.8692e15
0.960 3.1802e35 1.9406e15
0.990 3.3665e35 2.0126e15
1.020 3.5571e35 2.0853e15
1.050 3.7528e35 2.1586e15
1.080 3.9536e35 2.2325e15
1.110 4.1601e35 2.3070e15
1.140 4.3716e35 2.3822e15
1.170 4.5894e35 2.4580e15
1.200 4.8009e35 2.5344e15
1.230 5.0020e35 2.6114e15
1.260 5.2021e35 2.6890e15
1.290 5.4035e35 2.7670e15
1.320 5.6068e35 2.8456e15
1.350 5.8129e35 2.9247e15
1.380 6.0222e35 3.0043e15
